,School,Students,District
312,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Dr. Robert H. Brown Middle School
980 Durham Road, Madison, CT, 06443  Homes for sale",393.0,Madison School District
313,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Springdale School
1127 Hope St, Stamford, CT, 06906  Homes for sale",614.0,Stamford School District
314,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Rocky Hill High School
1 awardAwards & BadgesCollege Success Award2019See all winners in Connecticut50 Chapin Avenue, Rocky Hill, CT, 06067  Homes for sale",737.0,Rocky Hill School District
315,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Eli Whitney School
94 Middle Road, Enfield, CT, 06082  Homes for sale",369.0,Enfield School District
316,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Achievement First Bridgeport Academy
655 Stillman Street, Bridgeport, CT, 06608  Homes for sale",1062.0,Bridgeport Achievement First
317,"1/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Smalley Academy
175 West Street, New Britain, CT, 06051  Homes for sale",662.0,New Britain School District
318,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
J. F. Kennedy School
404 West Avenue, Milford, CT, 06461  Homes for sale",347.0,Milford School District
319,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Wethersfield High School
411 Wolcott Hill Road, Wethersfield, CT, 06109  Homes for sale",1152.0,Wethersfield School District
320,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Portland Middle School
95 High Street, Portland, CT, 06480  Homes for sale",221.0,Portland School District
321,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Marvin Elementary School
15 Calf Pasture Beach Road, Norwalk, CT, 06855  Homes for sale",428.0,Norwalk School District
322,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
New Fairfield Middle School
56 Gillotti Road, New Fairfield, CT, 06812  Homes for sale",523.0,New Fairfield School District
323,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Maple Hill School
641 Maple Hill Road, Naugatuck, CT, 06770  Homes for sale",443.0,Naugatuck School District
324,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Wheeler High School
298 Norwich-Westerly Road, North Stonington, CT, 06359  Homes for sale",357.0,North Stonington School Distr
325,"4/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Nichols School
396 Nichols Avenue, Stratford, CT, 06614  Homes for sale",392.0,Stratford School District
326,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Hanover School
208 East Main Street, Meriden, CT, 06450  Homes for sale",552.0,Meriden School District
327,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Woodside Intermediate School
30 Woodside Road, Cromwell, CT, 06416  Homes for sale",451.0,Cromwell School District
328,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Ansonia Middle School
115 Howard Avenue, Ansonia, CT, 06401  Homes for sale",362.0,Ansonia School District
329,"10/10Top ratedGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Hindley Elementary School
10 Nearwater Lane, Darien, CT, 06820  Homes for sale",483.0,Darien School District
330,"6/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Pearson Middle School
2 Wetmore Avenue, Winchester, CT, 06098  Homes for sale",299.0,Winchester School District
331,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Dr. Charles E. Murphy School
500 Chesterfield Road, Montville, CT, 06370  Homes for sale",324.0,Montville School District
332,"1/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Teachers' Memorial Middle School
15 Teachers Drive, Norwich, CT, 06360  Homes for sale",303.0,Norwich School District
333,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
East Windsor Middle School
38 Main Street, East Windsor, CT, 06016  Homes for sale",318.0,East Windsor School District
334,"8/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Salem Elementary School
200 Hartford Road, Salem, CT, 06420  Homes for sale",397.0,Salem School District
335,"5/10AverageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Dual Language Arts Academy/Academia Bilingue De La
51 Daniels Avenue, Waterford, CT, 06385  Homes for sale",150.0,Learn
336,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Jared Eliot School
69 Fairy Dell Road, Clinton, CT, 06413  Homes for sale",443.0,Clinton School District
337,"3/10Below averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
John C. Daniels
569 Congress Ave., New Haven, CT, 06519  Homes for sale",536.0,New Haven School District
338,"7/10Above averageGreatSchools’ Summary Rating provides an overall snapshot of school quality. Ratings follow a 1-10 scale, where top-rated schools are ""10s"": ratings between 1-4 signal “below average” 5-6 indicate “average” ratings of 7-10 are “above average”
Nathan Hale-Ray High School
15 School Road, East Haddam, CT, 06469  Homes for sale",344.0,East Haddam School District
